04:43 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;4:43:1
Politechnika;4:45:41
Dworzec Główny Zachód;4:46:56
Dworzec Główny;4:48:1
Poczta Główna;4:50:36
;
04:46 - 49 (TAURON Arena Kraków Wieczysta - Nowy Bieżanów);
Rondo Grzegórzeckie;4:46:1
Rondo Mogilskie;4:49:11
Cystersów;4:51:39
;
04:45 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;4:45:1
Teatr Variete;4:46:23
Rondo Grzegórzeckie;4:48:22
Hala Targowa;4:50:34
Starowiślna;4:51:37
Stradom;4:54:17
Orzeszkowej;4:56:1
Centrum Kongresowe ICE;4:58:0
;
04:45 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;4:45:1
Rondo Mogilskie;4:47:16
Lubicz;4:49:30
Dworzec Główny;4:51:31
Basztowa LOT;4:53:43
Teatr Bagatela;4:56:2
Batorego;4:58:2
Plac Inwalidów;4:59:9
;
04:44 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;4:44:1
Politechnika;4:47:29
Dworzec Główny Tunel;4:48:58
Rondo Mogilskie;4:52:28
Rondo Grzegórzeckie;4:56:9
Hala Targowa;4:58:21
Starowiślna;4:59:22
Miodowa;5:1:30
Miodowa;5:2:48
;
04:53 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;4:53:1
Dworzec Główny;4:55:5
Basztowa LOT;4:57:10
Teatr Bagatela;4:59:57
Filharmonia;5:2:29
;
04:52 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;4:52:1
Orzeszkowej;4:53:51
Stradom;4:54:59
Starowiślna;4:58:34
Hala Targowa;4:59:34
Rondo Grzegórzeckie;5:2:55
Teatr Variete;5:3:42
;
04:51 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;4:51:1
Stradom;4:52:12
Wawel;4:54:20
Świętej Gertrudy;4:55:55
Plac Wszystkich Świętych;4:57:18
Filharmonia;4:58:30
Teatr Bagatela;5:0:52
Batorego;5:2:57
Plac Inwalidów;5:4:4
;
04:47 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;4:47:1
Orzeszkowej;4:48:51
Stradom;4:49:52
Wawel;4:51:41
Świętej Gertrudy;4:53:15
Plac Wszystkich Świętych;4:54:39
Filharmonia;4:55:50
Teatr Bagatela;4:58:22
Basztowa LOT;5:0:47
Pędzichów;5:2:35
Nowy Kleparz;5:4:16
Dworzec Towarowy;5:6:19
;
04:50 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;4:50:1
Plac Inwalidów;4:51:54
Batorego;4:53:10
Teatr Bagatela;4:54:43
Basztowa LOT;4:57:9
Dworzec Główny;4:59:2
Lubicz;5:1:7
Rondo Mogilskie;5:4:13
Cystersów;5:6:42
;
04:50 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;4:50:1
Rondo Mogilskie;4:52:44
Lubicz;4:55:3
Dworzec Główny;4:57:3
Poczta Główna;4:59:32
Stradom;5:3:55
Orzeszkowej;5:5:35
Centrum Kongresowe ICE;5:7:36
;
04:51 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;4:51:1
Orzeszkowej;4:52:52
Stradom;4:53:53
Starowiślna;4:57:18
Poczta Główna;4:58:17
Dworzec Główny;5:0:42
Lubicz;5:2:42
Rondo Mogilskie;5:5:46
Cystersów;5:8:18
;
05:02 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;5:2:1
Politechnika;5:4:43
Dworzec Główny Zachód;5:5:59
Dworzec Główny;5:7:7
Poczta Główna;5:10:21
;
04:54 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;4:54:1
Stradom;4:55:11
Wawel;4:57:43
Poczta Główna;5:0:4
Dworzec Główny;5:2:44
Lubicz;5:4:43
Rondo Mogilskie;5:8:33
Cystersów;5:11:1
;
04:58 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;4:58:1
Filharmonia;5:0:0
Plac Wszystkich Świętych;5:1:40
Poczta Główna;5:3:15
Starowiślna;5:5:45
Hala Targowa;5:6:48
Rondo Grzegórzeckie;5:10:13
Teatr Variete;5:11:0
;
05:00 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;5:0:1
Miodowa;5:1:4
Starowiślna;5:3:56
Hala Targowa;5:4:58
Rondo Grzegórzeckie;5:8:26
Rondo Mogilskie;5:11:48
Cystersów;5:14:17
;
05:00 - 10 (Pleszów - Kurdwanów);
Cystersów;5:0:1
Rondo Mogilskie;5:2:17
Lubicz;5:4:32
Dworzec Główny;5:6:36
Poczta Główna;5:9:11
Świętej Gertrudy;5:10:42
Wawel;5:12:20
Stradom;5:13:25
;
05:04 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;5:4:1
Filharmonia;5:6:3
Teatr Bagatela;5:8:29
Basztowa LOT;5:11:18
Dworzec Główny;5:13:30
Lubicz;5:16:15
;
04:59 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;4:59:1
Politechnika;5:2:30
Dworzec Główny Tunel;5:4:0
Rondo Mogilskie;5:7:34
Rondo Grzegórzeckie;5:11:21
Hala Targowa;5:13:34
Starowiślna;5:14:35
Miodowa;5:16:43
Miodowa;5:18:1
;
05:02 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;5:2:1
Rondo Mogilskie;5:4:17
Lubicz;5:6:35
Dworzec Główny;5:8:50
Basztowa LOT;5:10:56
Teatr Bagatela;5:13:19
Batorego;5:15:41
Plac Inwalidów;5:16:48
Urzędnicza;5:18:43
;
05:03 - 24 (Bronowice - Kurdwanów);
Urzędnicza;5:3:1
Plac Inwalidów;5:4:54
Batorego;5:6:11
Teatr Bagatela;5:7:47
Basztowa LOT;5:10:14
Dworzec Główny;5:12:8
Poczta Główna;5:14:39
Miodowa;5:18:51
;
05:00 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;5:0:1
Orzeszkowej;5:1:52
Stradom;5:2:54
Wawel;5:4:42
Świętej Gertrudy;5:6:18
Plac Wszystkich Świętych;5:7:45
Filharmonia;5:8:57
Teatr Bagatela;5:11:29
Basztowa LOT;5:13:55
Pędzichów;5:15:44
Nowy Kleparz;5:17:24
Dworzec Towarowy;5:19:28
;
05:09 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;5:9:1
Teatr Variete;5:10:24
Rondo Grzegórzeckie;5:12:32
Hala Targowa;5:14:45
Starowiślna;5:15:47
Stradom;5:18:29
Orzeszkowej;5:20:23
Centrum Kongresowe ICE;5:22:22
;
05:05 - 24 (Kurdwanów - Bronowice);
Świętego Wawrzyńca;5:5:1
Miodowa;5:6:5
Starowiślna;5:8:23
Poczta Główna;5:9:22
Dworzec Główny;5:12:38
Basztowa LOT;5:15:35
Teatr Bagatela;5:17:57
Batorego;5:20:1
Plac Inwalidów;5:21:8
;
05:08 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;5:8:1
Plac Inwalidów;5:9:53
Batorego;5:11:11
Teatr Bagatela;5:12:59
Filharmonia;5:15:40
Plac Wszystkich Świętych;5:17:19
Świętej Gertrudy;5:18:52
Wawel;5:20:29
;
05:06 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;5:6:2
Orzeszkowej;5:7:55
Stradom;5:8:57
Starowiślna;5:12:25
Poczta Główna;5:13:23
Dworzec Główny;5:15:50
Lubicz;5:18:12
Rondo Mogilskie;5:21:28
Cystersów;5:23:57
;
05:05 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;5:5:1
Rondo Mogilskie;5:7:21
Lubicz;5:10:22
Dworzec Główny;5:12:24
Poczta Główna;5:15:57
Starowiślna;5:18:5
Stradom;5:20:46
Orzeszkowej;5:22:18
Centrum Kongresowe ICE;5:24:18
;
05:06 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;5:6:2
Miodowa;5:7:7
Starowiślna;5:9:33
